id,rtt_ms,jitter_ms
95,0.5632,0.5632
96,0.4771,0.0861
97,0.3911,0.086
98,0.4499,0.0588
99,0.4521,0.0022
100,0.4952,0.0431
101,0.424401,0.070799
102,0.4696,0.045199
103,0.536301,0.066701
104,0.5582,0.021899
105,0.616001,0.057801
106,0.453,0.163001
107,0.4351,0.0179
108,0.4123,0.0228
109,0.4341,0.0218
110,0.4651,0.031
111,0.6058,0.1407
112,0.653101,0.047301
113,1.0877,0.434599
114,0.444901,0.642799
115,0.5994,0.154499
116,0.557301,0.042099
117,0.475,0.082301
118,0.4743,0.0007
119,0.3798,0.0945
120,0.5105,0.1307
121,0.5839,0.0734
122,0.4993,0.0846
123,0.3873,0.112
124,0.4284,0.0411
125,0.344601,0.083799
126,0.4231,0.078499
127,0.444901,0.021801
128,0.5162,0.071299
129,0.701,0.1848
130,0.851701,0.150701
131,0.4241,0.427601
132,0.5151,0.091
133,0.4071,0.108
134,0.3808,0.0263
135,0.5636,0.1828
136,0.459401,0.104199
137,0.3458,0.113601
138,0.525701,0.179901
139,0.7681,0.242399
140,0.4965,0.2716
141,0.7747,0.2782
142,0.5814,0.1933
143,0.3624,0.219
144,0.435,0.0726
145,0.3832,0.0518
146,0.3565,0.0267
147,0.467701,0.111201
148,0.4002,0.067501
149,0.438401,0.038201
150,0.5546,0.116199
151,0.423501,0.131099
152,0.4123,0.011201
153,0.4452,0.0329
154,0.4342,0.011
155,0.6119,0.1777
156,0.702701,0.090801
157,0.5393,0.163401
158,0.686001,0.146701
159,0.4829,0.203101
160,0.492101,0.009201
161,0.5002,0.008099
162,0.530101,0.029901
163,0.3517,0.178401
164,0.4008,0.0491
165,0.5361,0.1353
166,0.5357,0.0004
167,0.479801,0.055899
168,0.4637,0.016101
169,0.498201,0.034501
170,0.3992,0.099001
171,0.579801,0.180601
172,0.6447,0.064899
173,0.458501,0.186199
174,0.809901,0.3514
175,0.434,0.375901
176,0.4608,0.0268
177,0.5208,0.06
178,0.443,0.0778
179,0.384,0.059
180,0.447801,0.063801
181,0.4552,0.007399
182,0.467001,0.011801
183,0.4526,0.014401
184,0.427601,0.024999
185,0.4817,0.054099
186,0.474,0.0077
187,0.4473,0.0267
188,0.5682,0.1209
189,0.858801,0.290601
190,0.5275,0.331301
191,1.041,0.513501
192,0.4414,0.599601
193,0.521501,0.080101
194,0.538,0.016499
195,0.414701,0.123299
196,0.5376,0.122899
197,0.5493,0.0117
198,0.4854,0.0639
199,0.4413,0.0441
200,0.5034,0.0621
201,0.5737,0.0703
202,0.470401,0.103299
203,0.5105,0.040099
204,0.455901,0.054599
205,0.6693,0.213399
206,0.594601,0.074699
207,0.4588,0.135801
208,0.6569,0.1981
209,0.973301,0.316401
210,0.6015,0.371801
211,0.4515,0.15
212,0.4891,0.0376
213,0.536401,0.047301
214,0.5353,0.001101
215,0.451901,0.083399
216,0.5549,0.102999
217,0.543901,0.010999
218,0.4722,0.071701
219,0.7277,0.2555
220,0.393,0.3347
221,0.5851,0.1921
222,0.580101,0.004999
223,0.5064,0.073701
224,0.682201,0.175801
225,0.7256,0.043399
226,0.464301,0.261299
227,0.5198,0.055499
228,0.512201,0.007599
229,0.6005,0.088299
230,0.517,0.0835
231,0.4531,0.0639
232,0.3496,0.1035
233,0.5501,0.2005
234,0.4631,0.087
235,0.534101,0.071001
236,0.4739,0.060201
237,0.515101,0.041201
238,0.5086,0.006501
239,0.680001,0.171401
240,0.4751,0.204901
241,0.7214,0.2463
242,0.4506,0.2708
243,0.4204,0.0302
244,0.551,0.1306
245,0.4819,0.0691
246,0.500801,0.018901
247,0.5519,0.051099
248,0.515001,0.036899
249,0.4431,0.071901
250,0.484601,0.041501
251,0.539,0.054399
252,0.4742,0.0648
253,0.5652,0.091
254,0.5059,0.0593
255,0.5897,0.0838
256,0.7202,0.1305
257,0.813601,0.093401
258,0.5144,0.299201
259,0.378201,0.136199
260,0.5125,0.134299
261,0.560001,0.047501
262,0.4041,0.155901
263,0.4827,0.0786
264,0.5954,0.1127
265,0.5471,0.0483
266,0.4849,0.0622
267,0.6081,0.1232
268,0.4647,0.1434
269,0.6045,0.1398
270,0.530901,0.073599
271,0.5486,0.017699
272,0.632301,0.083701
273,0.791701,0.1594
274,0.575401,0.2163
275,0.922301,0.3469
276,0.4898,0.432501
277,0.5578,0.068
278,0.5353,0.0225
279,0.542401,0.007101
280,0.5164,0.026001
281,0.537901,0.021501
282,0.5445,0.006599
283,0.454101,0.090399
284,0.5962,0.142099
285,0.5688,0.0274
286,0.5165,0.0523
287,0.5187,0.0022
288,0.5137,0.005
289,1.1143,0.6006
290,0.3956,0.7187
291,1.0866,0.691
292,0.449801,0.636799
293,0.4672,0.017399
294,0.445301,0.021899
295,0.4796,0.034299
296,0.454301,0.025299
297,0.4889,0.034599
298,0.4781,0.0108
299,0.4097,0.0684
300,0.4347,0.025
301,0.4721,0.0374
302,0.452,0.0201
303,0.421501,0.030499
304,0.3441,0.077401
305,0.751601,0.407501
306,0.4213,0.330301
307,0.6674,0.2461
308,0.3867,0.2807
309,0.4613,0.0746
310,0.3251,0.1362
311,0.3293,0.0042
312,0.2904,0.0389
313,0.388,0.0976
314,0.28,0.108
315,0.3208,0.0408
316,0.308901,0.011899
317,0.3398,0.030899
318,0.310101,0.029699
319,0.3182,0.008099
320,0.3003,0.0179
321,0.3482,0.0479
322,0.8244,0.4762
323,0.551001,0.273399
324,0.3727,0.178301
325,0.2893,0.0834
326,0.2602,0.0291
327,0.262201,0.002001
328,0.261,0.001201
329,0.335301,0.074301
330,0.2368,0.098501
331,0.2672,0.0304
332,0.2251,0.0421
333,0.2542,0.0291
334,0.2534,0.0008
335,0.3317,0.0783
336,0.2457,0.086
337,0.2567,0.011
338,0.435801,0.179101
339,0.4414,0.005599
340,0.598201,0.156801
341,0.3833,0.214901
342,0.2586,0.1247
343,0.2589,0.0003
344,0.2468,0.0121
345,0.2524,0.0056
346,0.2689,0.0165
347,0.242401,0.026499
348,0.2187,0.023701
349,0.283501,0.064801
350,0.2466,0.036901
351,0.274101,0.027501
352,0.2848,0.010699
353,0.2726,0.0122
354,0.2812,0.0086
355,0.3955,0.1143
356,0.681301,0.285801
357,0.3578,0.323501
358,0.3702,0.0124
359,0.267,0.1032
360,0.350601,0.083601
361,0.4248,0.074199
362,0.340501,0.084299
363,0.3834,0.042899
364,0.3052,0.0782
365,0.2737,0.0315
366,0.3247,0.051
367,0.3013,0.0234
368,0.2911,0.0102
369,0.2512,0.0399
370,0.2387,0.0125
371,0.2642,0.0255
372,0.6008,0.3366
373,0.712701,0.111901
374,0.5424,0.170301
375,0.4678,0.0746
376,0.4932,0.0254
377,0.4745,0.0187
378,0.4047,0.0698
379,0.4297,0.025
380,0.4701,0.0404
381,0.6495,0.1794
382,0.375701,0.273799
383,0.4285,0.052799
384,0.436001,0.007501
385,0.4246,0.011401
386,0.456,0.0314
387,0.467,0.011
388,0.4492,0.0178
389,0.6195,0.1703
390,0.3836,0.2359
391,0.4561,0.0725
392,0.4998,0.0437
393,7.09,6.5902
394,6.2381,0.851901
395,5.3529,0.8852
396,4.4496,0.903301
397,3.4573,0.992301
398,2.6335,0.8238
399,0.821101,1.8124
400,0.4419,0.379201
401,0.4112,0.0307
402,0.4022,0.009
403,0.429901,0.027701
404,0.5288,0.098899
405,0.450501,0.078299
406,0.4678,0.017299
407,1.0907,0.622901
408,0.5359,0.554801
409,0.4633,0.0726
410,0.5059,0.0426
411,0.4437,0.0622
412,0.4922,0.0485
413,0.5129,0.0207
414,0.451801,0.061099
415,0.4338,0.018001
416,0.536901,0.103101
417,0.4217,0.115201
418,0.425001,0.003301
419,0.4323,0.007299
420,0.4561,0.0238
421,0.4532,0.0029
422,0.459301,0.006101
423,0.5663,0.106999
424,0.729401,0.163101
425,0.4587,0.270701
426,0.4317,0.027
427,0.4247,0.007
428,0.5055,0.0808
429,1.0318,0.5263
430,0.4593,0.5725
431,0.4609,0.0016
432,0.5153,0.0544
433,0.396501,0.118799
434,0.395,0.001501
435,0.4271,0.0321
436,0.4646,0.0375
437,0.4393,0.0253
438,0.7791,0.3398
439,0.5006,0.2785
440,0.653501,0.152901
441,0.5032,0.150301
442,0.385501,0.117699
443,0.4966,0.111099
444,0.4896,0.007
445,0.4309,0.0587
446,0.4588,0.0279
447,0.4156,0.0432
448,0.4948,0.0792
449,0.4561,0.0387
450,0.4483,0.0078
451,0.459501,0.011201
